Country,Code,Year,Mortality rate,GDP,Homicide,Health expenditure,Universal_healthcare
Afghanistan,AFG,2002,12.04,1189.784668,1.144125675,7.76307316,0
Afghanistan,AFG,2003,11.63,1235.810063,1.248272848,8.81605343,0
Afghanistan,AFG,2004,11.21,1200.278013,1.187155957,8.78670722,0
Afghanistan,AFG,2005,10.79,1286.793659,1.214256657,8.06810435,0
Afghanistan,AFG,2006,10.37,1315.789117,1.225329508,7.43397155,0
Afghanistan,AFG,2007,9.95,1460.825751,1.235845771,6.72831635,0
Afghanistan,AFG,2008,9.54,1484.114461,1.283808631,8.32809334,0
Afghanistan,AFG,2009,9.14,1758.904477,1.300229162,9.41897064,0
Afghanistan,AFG,2010,8.76,1957.02907,1.393584999,9.19772273,0
Afghanistan,AFG,2011,8.39,1904.559926,1.394575915,7.87199189,0
Afghanistan,AFG,2012,8.03,2075.491614,1.396700989,8.51891268,0
Afghanistan,AFG,2013,7.68,2116.465258,1.436770021,8.13486556,0
Afghanistan,AFG,2014,7.36,2102.384604,1.416649189,8.18227382,0
Albania,ALB,1995,3.39,4471.87107,1.750277093,6.59707903,0
Albania,ALB,1996,3.26,4909.228105,1.930436461,7.43197435,0
Albania,ALB,1997,3.13,4400.577827,1.960843232,7.56809993,0
Albania,ALB,1998,2.99,4819.387534,2.349063926,6.94329921,0
Albania,ALB,1999,2.86,5475.169135,2.055725151,6.86818989,0
Albania,ALB,2000,2.72,5893.136233,1.628254488,6.2559844,0
Albania,ALB,2001,2.58,6441.853452,1.391965923,6.00014389,0
Albania,ALB,2002,2.44,6754.536003,1.144744644,6.30011348,0
Albania,ALB,2003,2.29,7154.784825,0.919223519,6.26700723,0
Albania,ALB,2004,2.14,7580.629091,0.724235427,6.37953469,0
Albania,ALB,2005,2,8040.878717,0.54683937,6.11631076,0
Albania,ALB,2006,1.85,8569.191113,0.470097954,5.86129625,0
Albania,ALB,2007,1.71,9150.518747,0.462439849,6.10393525,0
Albania,ALB,2008,1.58,9912.577242,0.429252302,5.86941616,0
Albania,ALB,2009,1.45,10313.92644,0.380184346,5.79133946,0
Albania,ALB,2010,1.32,10749.48745,0.392007573,5.33503501,0
Albania,ALB,2011,1.21,11052.79046,0.380618592,5.71466526,0
Albania,ALB,2012,1.12,11227.99449,0.368190897,5.58917285,0
Albania,ALB,2013,1.04,11361.29368,0.35772454,5.65513948,0
Albania,ALB,2014,0.99,11586.86377,0.345692633,5.88310543,0
Algeria,DZA,1995,4.36,7935.179014,0.42642077,3.70152453,0
Algeria,DZA,1996,4.25,8116.959947,0.39887882,3.34906968,0
Algeria,DZA,1997,4.16,8074.759681,0.581059235,3.59465773,0
Algeria,DZA,1998,4.08,8360.151446,0.516485501,3.59408178,0
Algeria,DZA,1999,4.03,8506.345679,0.414681739,3.43391495,0
Algeria,DZA,2000,3.97,8710.455149,0.403723068,3.48902094,0
Algeria,DZA,2001,3.89,8855.020186,0.402956518,3.83786516,0
Algeria,DZA,2002,3.78,9232.427523,0.401223323,3.73006375,0
Algeria,DZA,2003,3.65,9771.684856,0.382707512,3.60102674,0
Algeria,DZA,2004,3.51,10058.43902,0.366456325,3.54406326,0
Algeria,DZA,2005,3.36,10504.85847,0.354316385,3.23516801,0
Algeria,DZA,2006,3.21,10527.42208,0.340132703,3.35511843,0
Algeria,DZA,2007,3.08,10717.78446,0.325760816,3.82141191,0
Algeria,DZA,2008,2.95,10796.90256,0.321367696,4.20191141,0
Algeria,DZA,2009,2.84,10782.36109,0.31477566,5.35942501,0
Algeria,DZA,2010,2.74,10970.70637,0.307659709,5.11715468,0
Algeria,DZA,2011,2.67,11078.24233,0.302750554,5.29292834,0
Algeria,DZA,2012,2.62,11233.53132,0.296819126,6.14311272,0
Algeria,DZA,2013,2.58,11319.09706,0.30751812,7.12438268,0
Algeria,DZA,2014,2.55,11512.70511,0.285052547,7.20717804,0
Angola,AGO,1995,22.12,4139.64077,0.351875573,6.45887795,0
Angola,AGO,1996,21.97,4551.650381,0.333658248,2.81473208,0
Angola,AGO,1997,21.7,4728.156924,0.326422651,3.4825593,0
Angola,AGO,1998,21.35,4792.684163,0.349412526,3.33560211,0
Angola,AGO,1999,20.92,4740.669236,0.351968775,3.37784418,0
Angola,AGO,2000,20.39,4727.966314,0.357177556,2.78728366,0
Angola,AGO,2001,19.78,4766.836736,0.359723596,5.38455772,0
Angola,AGO,2002,19.09,5240.839433,0.365434163,3.63392075,0
Angola,AGO,2003,18.32,5218.207712,0.372681928,4.40528442,0
Angola,AGO,2004,17.46,5593.243624,0.387959059,4.70732007,0
Angola,AGO,2005,16.56,6210.222188,0.390821993,4.10396002,0
Angola,AGO,2006,15.62,6681.101028,0.395668115,4.54243749,0
Angola,AGO,2007,14.68,7341.865199,0.408588082,3.38311163,0
Angola,AGO,2008,13.74,7864.374579,0.417000429,3.84493395,0
Angola,AGO,2009,12.86,7643.495786,0.424962501,4.37177378,0
Angola,AGO,2010,12.03,7692.434286,0.43530504,3.39114609,0
Angola,AGO,2011,11.23,7675.446085,0.443554373,3.3795827,0
Angola,AGO,2012,10.5,8036.692402,0.455040313,3.30479422,0
Angola,AGO,2013,9.86,8140.525973,0.46195593,4.26303169,0
Angola,AGO,2014,9.3,8239.830672,0.466201063,3.30698293,0
Antigua and Barbuda,ATG,1995,1.56,15628.08501,0.705382374,4.1436129,0
Antigua and Barbuda,ATG,1996,1.59,16303.17628,0.685746365,3.92096985,0
Antigua and Barbuda,ATG,1997,1.6,16828.09094,0.704859984,3.93930715,0
Antigua and Barbuda,ATG,1998,1.59,17260.30157,0.726260499,3.92020732,0
Antigua and Barbuda,ATG,1999,1.57,17551.46677,0.742196016,3.96104693,0
Antigua and Barbuda,ATG,2000,1.55,18313.34971,0.763670812,4.12504853,0
Antigua and Barbuda,ATG,2001,1.51,17207.65121,0.85086932,4.48439049,0
Antigua and Barbuda,ATG,2002,1.46,17143.32603,0.825390114,4.41378705,0
Antigua and Barbuda,ATG,2003,1.41,17952.77914,0.846040741,4.53434099,0
Antigua and Barbuda,ATG,2004,1.35,18743.28685,0.882669647,4.20698542,0
Antigua and Barbuda,ATG,2005,1.29,19683.54108,0.927826331,4.41010035,0
Antigua and Barbuda,ATG,2006,1.23,21848.88813,0.944669102,4.34002161,0
Antigua and Barbuda,ATG,2007,1.17,23510.70765,1.033649342,4.26972324,0
Antigua and Barbuda,ATG,2008,1.11,23131.57765,1.026829459,4.69201433,0
Antigua and Barbuda,ATG,2009,1.06,20047.71601,1.09347355,4.86206202,0
Antigua and Barbuda,ATG,2010,1,18205.73853,1.030329353,5.6285144,0
Antigua and Barbuda,ATG,2011,0.95,17605.17014,0.999608559,5.64852918,0
Antigua and Barbuda,ATG,2012,0.9,17966.06436,0.966901157,5.38593825,0
Antigua and Barbuda,ATG,2013,0.85,17642.86087,0.939384737,5.33222783,0
Antigua and Barbuda,ATG,2014,0.81,18104.40734,0.885713175,5.54168311,0
Argentina,ARG,1995,2.41,17362.5218,0.746398316,8.31099274,1
